model,model_name,region,split,seed,events,variable,MAE,MAE_std,MSE,MSE_std,R2,unit
no_message_max,NoMessagePassing_MaxPooling,California,test,42,254,Latitude,8.923365592956543,7.9021644592285156,142.07058715820312,249.43992614746094,0.99135076999664307,km
no_message_max,NoMessagePassing_MaxPooling,California,test,42,254,Longitude,8.826507568359375,9.6387720108032227,170.81309509277344,625.68670654296875,0.97510892152786255,km
no_message_max,NoMessagePassing_MaxPooling,California,test,42,254,Depth,3.456693172454834,3.0460553169250488,21.22715950012207,40.731910705566406,0.28617590665817261,km
no_message_max,NoMessagePassing_MaxPooling,California,test,42,254,Magnitude,0.20257765054702759,0.20871679484844208,0.084600403904914856,0.19681775569915771,0.64875781536102295,magnitude
gcn_max,GCN_MaxPooling,California,test,42,254,Latitude,6.6271734237670898,7.9182381629943848,106.617919921875,410.23004150390625,0.99350911378860474,km
gcn_max,GCN_MaxPooling,California,test,42,254,Longitude,6.9360671043395996,9.4749574661254883,137.88394165039062,648.13104248046875,0.97990739345550537,km
gcn_max,GCN_MaxPooling,California,test,42,254,Depth,3.4489812850952148,3.2468256950378418,22.437349319458008,41.948230743408203,0.24548006057739258,km
gcn_max,GCN_MaxPooling,California,test,42,254,Magnitude,0.1893467903137207,0.18861433863639832,0.071427576243877411,0.17937278747558594,0.70344865322113037,magnitude
gcn_attention,GCN_AttentionPooling,California,test,42,254,Latitude,7.8274335861206055,11.143291473388672,185.441650390625,941.90106201171875,0.98871034383773804,km
gcn_attention,GCN_AttentionPooling,California,test,42,254,Longitude,6.7095198631286621,8.6647863388061523,120.09627532958984,432.6094970703125,0.98249942064285278,km
gcn_attention,GCN_AttentionPooling,California,test,42,254,Depth,3.3318545818328857,3.1362416744232178,20.937274932861328,40.949153900146484,0.29592454433441162,km
gcn_attention,GCN_AttentionPooling,California,test,42,254,Magnitude,0.20273086428642273,0.20460595190525055,0.082963444292545319,0.20382705330848694,0.65555417537689209,magnitude
stgnn,STGNN,California,test,42,254,Latitude,8.3778324127197266,11.00344181060791,191.26377868652344,912.21392822265625,0.98835587501525879,km
stgnn,STGNN,California,test,42,254,Longitude,8.5725774765014648,12.05721378326416,218.86544799804688,1028.4732666015625,0.96810668706893921,km
stgnn,STGNN,California,test,42,254,Depth,3.62119460105896,3.1713190078735352,23.170324325561523,43.106254577636719,0.22083204984664917,km
stgnn,STGNN,California,test,42,254,Magnitude,0.33438175916671753,0.30731746554374695,0.20625510811805725,0.37692359089851379,0.14367401599884033,magnitude
team_lm,TEAM_LM,California,test,42,254,Latitude,6.522578239440918,9.146245002746582,126.19785308837891,531.811279296875,0.9923170804977417,km
team_lm,TEAM_LM,California,test,42,254,Longitude,5.0916910171508789,7.5412688255310059,82.796051025390625,503.90322875976562,0.98793482780456543,km
team_lm,TEAM_LM,California,test,42,254,Depth,3.6062724590301514,2.8157784938812256,20.933803558349609,33.513294219970703,0.29604095220565796,km
team_lm,TEAM_LM,California,test,42,254,Magnitude,0.14647728204727173,0.147457554936409,0.043199345469474792,0.10348412394523621,0.82064598798751831,magnitude
transformer_attention,GraphTransformer_AttentionPooling,Alaska,test,42,222,Latitude,7.0585312843322754,20.610736846923828,474.62551879882812,3493.64990234375,0.95950692892074585,km
transformer_attention,GraphTransformer_AttentionPooling,Alaska,test,42,222,Longitude,6.2918910980224609,22.981899261474609,567.755615234375,5123.62353515625,0.90046167373657227,km
transformer_attention,GraphTransformer_AttentionPooling,Alaska,test,42,222,Depth,7.6063389778137207,10.584842681884766,169.89543151855469,789.29608154296875,0.85951250791549683,km
transformer_attention,GraphTransformer_AttentionPooling,Alaska,test,42,222,Magnitude,0.20523360371589661,0.18418391048908234,0.076044552028179169,0.12610316276550293,0.66922235488891602,magnitude
transformer_max,GraphTransformer_MaxPooling,Alaska,test,42,222,Latitude,6.1179866790771484,14.794811248779297,256.3160400390625,2126.80224609375,0.97813218832015991,km
transformer_max,GraphTransformer_MaxPooling,Alaska,test,42,222,Longitude,5.8063216209411621,21.055566787719727,477.05026245117188,4041.9169921875,0.91636401414871216,km
transformer_max,GraphTransformer_MaxPooling,Alaska,test,42,222,Depth,7.971890926361084,14.978691101074219,287.91217041015625,2225.062255859375,0.76192367076873779,km
transformer_max,GraphTransformer_MaxPooling,Alaska,test,42,222,Magnitude,0.16575315594673157,0.16227179765701294,0.053806241601705551,0.10909809172153473,0.76595437526702881,magnitude
no_message_attention,NoMessagePassing_AttentionPooling,Alaska,test,42,222,Latitude,9.8581113815307617,17.342197418212891,397.93414306640625,2285.43017578125,0.9660499095916748,km
no_message_attention,NoMessagePassing_AttentionPooling,Alaska,test,42,222,Longitude,7.951014518737793,16.926992416381836,349.74179077148438,2471.230712890625,0.93868362903594971,km
