model,model_name,source_region,target_region,test_events,variable,MAE_native,MSE_native,R2,MAE_km,MSE_km2
no_message_attention,NoMessagePassing_AttentionPooling,Alaska,California,2533,Magnitude,0.30550305915101511,0.21085631126434159,-0.15007362924987921,,
no_message_max,NoMessagePassing_MaxPooling,Alaska,California,2533,Latitude,0.21211385531679122,0.12446157332392389,0.90198688050171494,23.332524084847034,1505.9850372194792
no_message_max,NoMessagePassing_MaxPooling,Alaska,California,2533,Longitude,0.27845144040077008,0.14332822098581924,0.80148569841214201,25.617532516870845,1213.1300624239741
no_message_max,NoMessagePassing_MaxPooling,Alaska,California,2533,Depth_km,6.0325902008026491,59.105964629693041,-1.2259340097654712,,
no_message_max,NoMessagePassing_MaxPooling,Alaska,California,2533,Magnitude,0.23029105849293835,0.10629938772599974,0.42021122395611721,,
gcn_max,GCN_MaxPooling,Alaska,California,2533,Latitude,0.32270595758710868,0.22489419780247685,0.82289648688340877,35.497655334581957,2721.21979340997
gcn_max,GCN_MaxPooling,Alaska,California,2533,Longitude,0.20516228199410397,0.090598043513767545,0.8745187290426123,18.874929943457566,766.82184030052849
gcn_max,GCN_MaxPooling,Alaska,California,2533,Depth_km,5.020885021355741,41.90778761473544,-0.5782496793700036,,
gcn_max,GCN_MaxPooling,Alaska,California,2533,Magnitude,0.27730039923396321,0.14337970178435594,0.21796405806807928,,
gcn_attention,GCN_AttentionPooling,Alaska,California,2533,Latitude,0.27313692230226888,0.1939438495730767,0.84726979423046156,30.045061453249577,2346.7205798342279
gcn_attention,GCN_AttentionPooling,Alaska,California,2533,Longitude,0.25341477215869068,0.13896386345915959,0.80753047717465987,23.314159038599541,1176.1901403183267
gcn_attention,GCN_AttentionPooling,Alaska,California,2533,Depth_km,5.0093683789144468,42.403616665671642,-0.59692262979765243,,
gcn_attention,GCN_AttentionPooling,Alaska,California,2533,Magnitude,0.25402937591240615,0.12499365493762529,0.31824707780690442,,
